                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.97778,                 3.3022,                 1.4774,                0.77953,                  0.125,                0.38358,                0.27685,                0.93197,                 2.8815,                 1.2619,                0.09901,                  1e-05,                  1e-05
                      1,                 0.9133,                 2.8471,                 1.4489,                      1,                0.23599,                  0.424,                0.28479,                0.93203,                 2.8702,                  1.259,                0.09703,              2.985e-05,              2.985e-05
                      2,                0.98134,                 2.9562,                 1.5272,                      1,                0.24174,                0.50463,                0.30547,                0.92989,                 2.8696,                 1.2552,                0.09505,               4.95e-05,               4.95e-05
                      3,                 0.8497,                 3.0718,                 1.3911,                0.87954,                0.41667,                0.52408,                0.32537,                0.92457,                  2.773,                 1.2502,               0.093069,             6.8951e-05,             6.8951e-05
                      4,                0.89911,                 2.9932,                 1.3947,                0.59465,                0.41667,                0.58962,                 0.3693,                0.90395,                 2.5811,                 1.2361,               0.091088,             8.8202e-05,             8.8202e-05
                      5,                0.89899,                 2.8429,                 1.3545,                0.59781,                0.42529,                0.62642,                0.40322,                0.87367,                  2.384,                 1.2191,               0.089107,             0.00010725,             0.00010725
                      6,                0.96633,                  2.663,                  1.506,                0.75648,                0.65126,                0.73967,                0.54517,                0.84088,                 2.1423,                 1.1976,               0.087126,              0.0001261,              0.0001261
                      7,                0.87377,                 2.7281,                 1.4146,                0.77227,                0.81049,                0.74693,                0.58235,                0.81701,                 1.8984,                 1.1787,               0.085145,             0.00014476,             0.00014476
                      8,                 0.7348,                 2.1733,                 1.2646,                0.76368,                0.81461,                0.75518,                0.58895,                0.79978,                 1.7965,                 1.1659,               0.083163,             0.00016321,             0.00016321
                      9,                0.94075,                 2.0768,                 1.4684,                0.75868,                0.81424,                0.76343,                0.59885,                0.80617,                 1.7542,                 1.1669,               0.081181,             0.00018146,             0.00018146
                     10,                0.68373,                 2.1563,                 1.2518,                0.75499,                0.81433,                0.76893,                0.63156,                0.78501,                 1.6094,                 1.1534,                 0.0792,             0.00019951,             0.00019951
                     11,                0.75984,                 1.8796,                  1.339,                  0.752,                0.80896,                0.81589,                0.67018,                0.76658,                 1.5052,                  1.146,               0.077217,             0.00021736,             0.00021736
                     12,                0.84083,                 1.7017,                 1.3527,                0.75033,                0.81971,                0.85893,                0.72318,                0.74878,                  1.456,                 1.1311,               0.075235,             0.00023501,             0.00023501
                     13,                0.84149,                 1.6702,                 1.4165,                0.75329,                 0.8234,                0.87543,                0.74568,                0.73146,                 1.4264,                 1.1206,               0.073252,             0.00025247,             0.00025247
                     14,                0.72023,                 1.4533,                  1.239,                0.74642,                0.83125,                0.90018,                0.76713,                0.72186,                 1.3572,                 1.1142,                0.07127,             0.00026972,             0.00026972
                     15,                0.80419,                 1.4728,                 1.3785,                0.76558,                0.98073,                0.94143,                0.80288,                0.70732,                 1.2532,                 1.1065,               0.069287,             0.00028677,             0.00028677
                     16,                0.63175,                 1.4482,                 1.1924,                0.79227,                0.83333,                0.91208,                0.77546,                0.69633,                 1.1878,                 1.1037,               0.067304,             0.00030363,             0.00030363
                     17,                0.71646,                 1.3294,                 1.3147,                0.77668,                0.98002,                   0.97,                0.82288,                0.68506,                  1.085,                 1.0984,                0.06532,             0.00032028,             0.00032028
                     18,                0.70099,                 1.2477,                 1.3374,                0.84651,                0.91145,                   0.97,                0.82288,                0.66957,                 1.0028,                 1.0981,               0.063337,             0.00033673,             0.00033673
                     19,                0.61369,                 1.1121,                  1.268,                0.85189,                0.98028,                  0.995,                0.86237,                0.64769,                0.84715,                 1.0871,               0.061353,             0.00035299,             0.00035299
                     20,                0.69009,                 1.1167,                 1.3151,                0.91871,                0.98203,                  0.995,                0.87871,                 0.6247,                 0.7476,                 1.0735,               0.059369,             0.00036904,             0.00036904
                     21,                0.69233,                 1.0554,                 1.2982,                0.95519,                0.98299,                  0.995,                0.89122,                 0.5976,                0.68803,                  1.053,               0.057385,              0.0003849,              0.0003849
                     22,                0.65723,                 1.1314,                 1.3417,                 0.9563,                0.98012,                  0.995,                0.89122,                0.56715,                0.65773,                 1.0348,               0.055401,             0.00040055,             0.00040055
                     23,                0.59201,                0.99058,                 1.2391,                0.95331,                0.97732,                  0.995,                0.89122,                0.53856,                0.62947,                 1.0129,               0.053416,               0.000416,               0.000416
                     24,                0.62015,                0.90659,                 1.2453,                0.96528,                0.98965,                  0.995,                0.90085,                 0.5076,                0.58573,                0.99575,               0.051431,             0.00043126,             0.00043126
                     25,                0.68561,                0.93208,                 1.3167,                0.97081,                      1,                  0.995,                0.90084,                0.49198,                0.55573,                0.98584,               0.049446,             0.00044631,             0.00044631
                     26,                0.68153,                0.89888,                 1.2295,                0.97103,                      1,                  0.995,                 0.9175,                0.46203,                0.52574,                 0.9695,               0.047461,             0.00046117,             0.00046117
                     27,                0.63977,                0.98612,                 1.2521,                0.97103,                      1,                  0.995,                 0.9175,                0.46203,                0.52574,                 0.9695,               0.045476,             0.00047582,             0.00047582
                     28,                 0.5891,                0.84717,                 1.2176,                0.96922,                      1,                  0.995,                 0.9175,                0.43992,                0.49942,                0.95803,                0.04349,             0.00049028,             0.00049028
                     29,                0.72757,                 1.0448,                 1.4066,                0.96721,                      1,                  0.995,                 0.9175,                0.42945,                0.47927,                0.95175,               0.041505,             0.00050454,             0.00050454
                     30,                0.62646,                0.77955,                 1.1769,                0.96721,                      1,                  0.995,                 0.9175,                0.42945,                0.47927,                0.95175,               0.039519,             0.00051859,             0.00051859
                     31,                0.71224,                0.81235,                 1.2856,                0.96013,                      1,                  0.995,                0.91437,                0.41817,                0.49597,                0.94574,               0.037532,             0.00053245,             0.00053245
                     32,                0.60198,                0.91262,                 1.2448,                0.95659,                0.99827,                  0.995,                0.91437,                 0.4218,                0.49636,                0.94888,               0.035546,              0.0005461,              0.0005461
                     33,                0.55728,                0.65896,                 1.1896,                0.95659,                0.99827,                  0.995,                0.91437,                 0.4218,                0.49636,                0.94888,                0.03356,             0.00055956,             0.00055956
                     34,                0.52774,                0.72347,                 1.1073,                0.95521,                0.99604,                  0.995,                0.91437,                0.42779,                0.48482,                0.95615,               0.031573,             0.00057282,             0.00057282
